AIC BIC aBIC DIC
tso_long_bayes_r20 NA NA NA 105018.82
msst_wide_ml_r21 -999 -999 -999 -999
msst_long_ml_r21 125770.048 125883.727 125832.882 NA
msst_wide_bayes_r21 NA NA NA NA
msst_long_bayes_r21 NA NA NA 124220.849
cuts_wide_ml_r21 -999 -999 -999 -999
cuts_long_ml_r21 -999 -999 -999 -999
cuts_wide_bayes_r21 NA NA NA NA
cuts_long_bayes_r21 NA NA NA 118634.5
tso_wide_ml_r21 -999 -999 -999 -999
tso_wide_bayes_r21 NA NA NA NA
tso_long_bayes_r21 NA NA NA 106187.722
msst_wide_ml_r22 -999 -999 -999 -999
msst_long_ml_r22 125395.078 125508.757 125457.912 NA
msst_wide_bayes_r22 NA NA NA NA
msst_long_bayes_r22 NA NA NA 123792.693
cuts_wide_ml_r22 -999 -999 -999 -999
cuts_long_ml_r22 -999 -999 -999 -999
cuts_wide_bayes_r22 NA NA NA NA
cuts_long_bayes_r22 NA NA NA 118490.756
tso_wide_ml_r22 -999 -999 -999 -999
tso_wide_bayes_r22 NA NA NA NA
tso_long_bayes_r22 NA NA NA 105737.647
msst_wide_ml_r23 -999 -999 -999 -999
msst_long_ml_r23 126688.297 126801.977 126751.132 NA
msst_wide_bayes_r23 NA NA NA NA
msst_long_bayes_r23 NA NA NA 124960.107
cuts_wide_ml_r23 -999 -999 -999 -999
cuts_long_ml_r23 -999 -999 -999 -999
cuts_wide_bayes_r23 NA NA NA NA
cuts_long_bayes_r23 NA NA NA 118981.148
tso_wide_ml_r23 -999 -999 -999 -999
tso_wide_bayes_r23 NA NA NA NA
tso_long_bayes_r23 NA NA NA 105991.018
msst_wide_ml_r24 -999 -999 -999 -999
msst_long_ml_r24 126891.01 127004.689 126953.844 NA
msst_wide_bayes_r24 NA NA NA NA
msst_long_bayes_r24 NA NA NA 125117.476
cuts_wide_ml_r24 -999 -999 -999 -999
cuts_long_ml_r24 -999 -999 -999 -999
cuts_wide_bayes_r24 NA NA NA NA
cuts_long_bayes_r24 NA NA NA 118702.755
tso_wide_ml_r24 -999 -999 -999 -999
tso_wide_bayes_r24 NA NA NA NA
tso_long_bayes_r24 NA NA NA 105543.963
